time,month,day,hour,day_of_week,demand,temperature
2017-01-01 00:00:00+00:00,1,1,0,6,1092.45,-2.526
2017-01-01 01:00:00+00:00,1,1,1,6,1052.9,-2.485
2017-01-01 02:00:00+00:00,1,1,2,6,1012.77,-2.458
2017-01-01 03:00:00+00:00,1,1,3,6,995.55,-2.489
2017-01-01 04:00:00+00:00,1,1,4,6,1003.98,-2.623
2017-01-01 05:00:00+00:00,1,1,5,6,1046.67,-2.867
2017-01-01 06:00:00+00:00,1,1,6,6,1097.43,-3.181
2017-01-01 07:00:00+00:00,1,1,7,6,1145.35,-2.773
2017-01-01 08:00:00+00:00,1,1,8,6,1184.56,-0.975
2017-01-01 09:00:00+00:00,1,1,9,6,1228.04,1.078
2017-01-01 10:00:00+00:00,1,1,10,6,1205.58,2.831
2017-01-01 11:00:00+00:00,1,1,11,6,1197.82,4.225
2017-01-01 12:00:00+00:00,1,1,12,6,1139.71,4.411
2017-01-01 13:00:00+00:00,1,1,13,6,1156.79,3.348
2017-01-01 14:00:00+00:00,1,1,14,6,1192.17,0.738
2017-01-01 15:00:00+00:00,1,1,15,6,1274.05,-1.189
2017-01-01 16:00:00+00:00,1,1,16,6,1388.09,-1.749
2017-01-01 17:00:00+00:00,1,1,17,6,1402.5,-2.166
2017-01-01 18:00:00+00:00,1,1,18,6,1395.24,-2.564
2017-01-01 19:00:00+00:00,1,1,19,6,1394.32,-3.079
2017-01-01 20:00:00+00:00,1,1,20,6,1336.45,-3.58
2017-01-01 21:00:00+00:00,1,1,21,6,1243.51,-4.003
2017-01-01 22:00:00+00:00,1,1,22,6,1130.11,-4.294
2017-01-01 23:00:00+00:00,1,1,23,6,1083.06,-4.478
2017-01-02 00:00:00+00:00,1,2,0,0,1019.99,-4.564
2017-01-02 01:00:00+00:00,1,2,1,0,1008.73,-4.586
2017-01-02 02:00:00+00:00,1,2,2,0,990.43,-4.571
2017-01-02 03:00:00+00:00,1,2,3,0,1019.61,-4.561
2017-01-02 04:00:00+00:00,1,2,4,0,1058.89,-4.548
2017-01-02 05:00:00+00:00,1,2,5,0,1143.18,-4.458
2017-01-02 06:00:00+00:00,1,2,6,0,1261.87,-3.902
2017-01-02 07:00:00+00:00,1,2,7,0,1356.08,-2.696
2017-01-02 08:00:00+00:00,1,2,8,0,1416.8,-0.787
2017-01-02 09:00:00+00:00,1,2,9,0,1416.3,0.786
2017-01-02 10:00:00+00:00,1,2,10,0,1419.47,2.399
2017-01-02 11:00:00+00:00,1,2,11,0,1381.8,3.583
2017-01-02 12:00:00+00:00,1,2,12,0,1334.55,3.938
2017-01-02 13:00:00+00:00,1,2,13,0,1334.13,3.434
2017-01-02 14:00:00+00:00,1,2,14,0,1346.63,2.14
2017-01-02 15:00:00+00:00,1,2,15,0,1425.04,1.229
2017-01-02 16:00:00+00:00,1,2,16,0,1539.27,1.201
2017-01-02 17:00:00+00:00,1,2,17,0,1557.4,0.924
2017-01-02 18:00:00+00:00,1,2,18,0,1560.59,0.428
2017-01-02 19:00:00+00:00,1,2,19,0,1517.38,0.31
2017-01-02 20:00:00+00:00,1,2,20,0,1418.12,-0.017
2017-01-02 21:00:00+00:00,1,2,21,0,1325.22,-0.302
2017-01-02 22:00:00+00:00,1,2,22,0,1215.0,-0.257
2017-01-02 23:00:00+00:00,1,2,23,0,1141.72,-0.521
2017-01-03 00:00:00+00:00,1,3,0,1,1076.03,-0.853
2017-01-03 01:00:00+00:00,1,3,1,1,1067.58,-1.159
2017-01-03 02:00:00+00:00,1,3,2,1,1062.77,-1.336
2017-01-03 03:00:00+00:00,1,3,3,1,1116.8,-1.536
2017-01-03 04:00:00+00:00,1,3,4,1,1243.55,-1.835
2017-01-03 05:00:00+00:00,1,3,5,1,1553.65,-2.108
2017-01-03 06:00:00+00:00,1,3,6,1,1731.64,-2.38
2017-01-03 07:00:00+00:00,1,3,7,1,1803.62,-1.876
2017-01-03 08:00:00+00:00,1,3,8,1,1786.54,-0.444
2017-01-03 09:00:00+00:00,1,3,9,1,1786.57,0.692
2017-01-03 10:00:00+00:00,1,3,10,1,1765.81,1.531
2017-01-03 11:00:00+00:00,1,3,11,1,1766.06,2.07
2017-01-03 12:00:00+00:00,1,3,12,1,1744.38,2.239
2017-01-03 13:00:00+00:00,1,3,13,1,1697.76,1.917
2017-01-03 14:00:00+00:00,1,3,14,1,1715.82,0.496
2017-01-03 15:00:00+00:00,1,3,15,1,1843.43,-0.963
2017-01-03 16:00:00+00:00,1,3,16,1,1921.77,-1.415
2017-01-03 17:00:00+00:00,1,3,17,1,1950.28,-1.806
2017-01-03 18:00:00+00:00,1,3,18,1,1912.47,-2.223
2017-01-03 19:00:00+00:00,1,3,19,1,1853.66,-2.706
2017-01-03 20:00:00+00:00,1,3,20,1,1707.05,-3.296
2017-01-03 21:00:00+00:00,1,3,21,1,1586.33,-4.009
2017-01-03 22:00:00+00:00,1,3,22,1,1469.13,-4.786
2017-01-03 23:00:00+00:00,1,3,23,1,1384.07,-5.372
2017-01-04 00:00:00+00:00,1,4,0,2,1312.73,-5.647
2017-01-04 01:00:00+00:00,1,4,1,2,1281.48,-5.619
2017-01-04 02:00:00+00:00,1,4,2,2,1271.94,-5.358
2017-01-04 03:00:00+00:00,1,4,3,2,1324.01,-5.021
2017-01-04 04:00:00+00:00,1,4,4,2,1463.59,-4.749
2017-01-04 05:00:00+00:00,1,4,5,2,1721.55,-4.854
2017-01-04 06:00:00+00:00,1,4,6,2,1888.92,-4.986
2017-01-04 07:00:00+00:00,1,4,7,2,1955.93,-3.763
2017-01-04 08:00:00+00:00,1,4,8,2,1961.65,-1.604
2017-01-04 09:00:00+00:00,1,4,9,2,1955.09,-0.358
2017-01-04 10:00:00+00:00,1,4,10,2,1938.53,0.352
2017-01-04 11:00:00+00:00,1,4,11,2,1887.27,0.85
2017-01-04 12:00:00+00:00,1,4,12,2,1857.15,1.015
2017-01-04 13:00:00+00:00,1,4,13,2,1865.38,0.571
2017-01-04 14:00:00+00:00,1,4,14,2,1831.39,-0.266
2017-01-04 15:00:00+00:00,1,4,15,2,1917.52,-1.067
2017-01-04 16:00:00+00:00,1,4,16,2,1989.66,-1.35
2017-01-04 17:00:00+00:00,1,4,17,2,1955.34,-1.468
2017-01-04 18:00:00+00:00,1,4,18,2,1942.75,-1.664
2017-01-04 19:00:00+00:00,1,4,19,2,1867.34,-2.244
2017-01-04 20:00:00+00:00,1,4,20,2,1706.12,-2.637
2017-01-04 21:00:00+00:00,1,4,21,2,1600.25,-2.456
2017-01-04 22:00:00+00:00,1,4,22,2,1459.5,-2.072
2017-01-04 23:00:00+00:00,1,4,23,2,1359.72,-1.991
2017-01-05 00:00:00+00:00,1,5,0,3,1333.86,-2.303
2017-01-05 01:00:00+00:00,1,5,1,3,1311.02,-2.617
2017-01-05 02:00:00+00:00,1,5,2,3,1329.54,-3.289
2017-01-05 03:00:00+00:00,1,5,3,3,1341.68,-3.883
2017-01-05 04:00:00+00:00,1,5,4,3,1462.49,-4.301
2017-01-05 05:00:00+00:00,1,5,5,3,1737.27,-4.635
2017-01-05 06:00:00+00:00,1,5,6,3,1932.79,-4.805
2017-01-05 07:00:00+00:00,1,5,7,3,1951.96,-3.672
2017-01-05 08:00:00+00:00,1,5,8,3,1944.53,-1.642
2017-01-05 09:00:00+00:00,1,5,9,3,1919.11,-0.395
2017-01-05 10:00:00+00:00,1,5,10,3,1929.08,0.097
2017-01-05 11:00:00+00:00,1,5,11,3,1903.63,0.139
2017-01-05 12:00:00+00:00,1,5,12,3,1875.79,-0.178
2017-01-05 13:00:00+00:00,1,5,13,3,1846.0,-0.9
2017-01-05 14:00:00+00:00,1,5,14,3,1849.57,-2.006
2017-01-05 15:00:00+00:00,1,5,15,3,1935.03,-3.296
2017-01-05 16:00:00+00:00,1,5,16,3,1994.9,-4.098
2017-01-05 17:00:00+00:00,1,5,17,3,2008.92,-4.692
2017-01-05 18:00:00+00:00,1,5,18,3,1998.22,-5.186
2017-01-05 19:00:00+00:00,1,5,19,3,1913.7,-5.611
2017-01-05 20:00:00+00:00,1,5,20,3,1759.77,-6.025
2017-01-05 21:00:00+00:00,1,5,21,3,1646.9,-6.401
2017-01-05 22:00:00+00:00,1,5,22,3,1532.19,-6.755
2017-01-05 23:00:00+00:00,1,5,23,3,1417.4,-7.085
2017-01-06 00:00:00+00:00,1,6,0,4,1364.66,-7.416
2017-01-06 01:00:00+00:00,1,6,1,4,1337.68,-7.777
2017-01-06 02:00:00+00:00,1,6,2,4,1357.71,-8.17
2017-01-06 03:00:00+00:00,1,6,3,4,1383.71,-8.569
2017-01-06 04:00:00+00:00,1,6,4,4,1509.46,-8.806
2017-01-06 05:00:00+00:00,1,6,5,4,1769.82,-9.009
2017-01-06 06:00:00+00:00,1,6,6,4,1940.96,-9.164
2017-01-06 07:00:00+00:00,1,6,7,4,1962.33,-8.597
2017-01-06 08:00:00+00:00,1,6,8,4,1934.99,-7.455
2017-01-06 09:00:00+00:00,1,6,9,4,1926.15,-6.593
2017-01-06 10:00:00+00:00,1,6,10,4,1920.48,-6.051
2017-01-06 11:00:00+00:00,1,6,11,4,1901.72,-5.828
2017-01-06 12:00:00+00:00,1,6,12,4,1896.07,-5.913
2017-01-06 13:00:00+00:00,1,6,13,4,1842.61,-6.291
2017-01-06 14:00:00+00:00,1,6,14,4,1880.79,-7.017
2017-01-06 15:00:00+00:00,1,6,15,4,1950.17,-7.911
2017-01-06 16:00:00+00:00,1,6,16,4,2043.87,-8.243
2017-01-06 17:00:00+00:00,1,6,17,4,2025.93,-8.331
2017-01-06 18:00:00+00:00,1,6,18,4,1992.22,-8.432
2017-01-06 19:00:00+00:00,1,6,19,4,1907.9,-8.496
2017-01-06 20:00:00+00:00,1,6,20,4,1743.8,-8.623
2017-01-06 21:00:00+00:00,1,6,21,4,1686.21,-8.893
2017-01-06 22:00:00+00:00,1,6,22,4,1559.58,-9.174
2017-01-06 23:00:00+00:00,1,6,23,4,1472.69,-9.612
2017-01-07 00:00:00+00:00,1,7,0,5,1427.4,-10.04
2017-01-07 01:00:00+00:00,1,7,1,5,1366.37,-10.439
2017-01-07 02:00:00+00:00,1,7,2,5,1385.18,-10.804
2017-01-07 03:00:00+00:00,1,7,3,5,1373.88,-11.316
2017-01-07 04:00:00+00:00,1,7,4,5,1400.33,-11.786
2017-01-07 05:00:00+00:00,1,7,5,5,1535.77,-12.155
2017-01-07 06:00:00+00:00,1,7,6,5,1672.25,-12.473
2017-01-07 07:00:00+00:00,1,7,7,5,1812.0,-11.072
2017-01-07 08:00:00+00:00,1,7,8,5,1844.0,-8.645
2017-01-07 09:00:00+00:00,1,7,9,5,1835.72,-7.085
2017-01-07 10:00:00+00:00,1,7,10,5,1807.73,-5.965
2017-01-07 11:00:00+00:00,1,7,11,5,1768.75,-5.09
2017-01-07 12:00:00+00:00,1,7,12,5,1726.46,-4.584
2017-01-07 13:00:00+00:00,1,7,13,5,1676.86,-4.641
2017-01-07 14:00:00+00:00,1,7,14,5,1687.37,-5.827
2017-01-07 15:00:00+00:00,1,7,15,5,1759.37,-8.29
2017-01-07 16:00:00+00:00,1,7,16,5,1861.46,-8.869
2017-01-07 17:00:00+00:00,1,7,17,5,1861.77,-9.031
2017-01-07 18:00:00+00:00,1,7,18,5,1840.86,-9.191
2017-01-07 19:00:00+00:00,1,7,19,5,1737.48,-9.346
2017-01-07 20:00:00+00:00,1,7,20,5,1651.95,-9.381
2017-01-07 21:00:00+00:00,1,7,21,5,1538.17,-9.467
2017-01-07 22:00:00+00:00,1,7,22,5,1432.18,-9.509
2017-01-07 23:00:00+00:00,1,7,23,5,1323.8,-9.328
2017-01-08 00:00:00+00:00,1,8,0,6,1252.91,-9.067
2017-01-08 01:00:00+00:00,1,8,1,6,1291.93,-8.876
2017-01-08 02:00:00+00:00,1,8,2,6,1260.37,-8.747
2017-01-08 03:00:00+00:00,1,8,3,6,1246.12,-8.722
2017-01-08 04:00:00+00:00,1,8,4,6,1283.24,-8.759
2017-01-08 05:00:00+00:00,1,8,5,6,1386.3,-8.783
2017-01-08 06:00:00+00:00,1,8,6,6,1479.38,-8.78
2017-01-08 07:00:00+00:00,1,8,7,6,1625.29,-8.367
2017-01-08 08:00:00+00:00,1,8,8,6,1740.02,-7.319
2017-01-08 09:00:00+00:00,1,8,9,6,1835.91,-5.544
2017-01-08 10:00:00+00:00,1,8,10,6,1867.14,-4.1
2017-01-08 11:00:00+00:00,1,8,11,6,1825.83,-3.056
2017-01-08 12:00:00+00:00,1,8,12,6,1719.47,-2.483
2017-01-08 13:00:00+00:00,1,8,13,6,1683.65,-2.463
2017-01-08 14:00:00+00:00,1,8,14,6,1646.85,-3.437
2017-01-08 15:00:00+00:00,1,8,15,6,1674.92,-5.518
2017-01-08 16:00:00+00:00,1,8,16,6,1795.95,-6.378
2017-01-08 17:00:00+00:00,1,8,17,6,1808.99,-7.008
2017-01-08 18:00:00+00:00,1,8,18,6,1848.19,-7.566
2017-01-08 19:00:00+00:00,1,8,19,6,1794.24,-8.006
2017-01-08 20:00:00+00:00,1,8,20,6,1683.52,-8.296
2017-01-08 21:00:00+00:00,1,8,21,6,1589.82,-8.434
2017-01-08 22:00:00+00:00,1,8,22,6,1461.38,-8.555
2017-01-08 23:00:00+00:00,1,8,23,6,1385.47,-8.664
2017-01-09 00:00:00+00:00,1,9,0,0,1348.98,-8.607
2017-01-09 01:00:00+00:00,1,9,1,0,1335.18,-8.513
2017-01-09 02:00:00+00:00,1,9,2,0,1334.54,-8.394
2017-01-09 03:00:00+00:00,1,9,3,0,1364.81,-8.418
2017-01-09 04:00:00+00:00,1,9,4,0,1479.32,-8.578
2017-01-09 05:00:00+00:00,1,9,5,0,1795.05,-8.704
2017-01-09 06:00:00+00:00,1,9,6,0,2006.5,-8.851
2017-01-09 07:00:00+00:00,1,9,7,0,2082.13,-7.724
2017-01-09 08:00:00+00:00,1,9,8,0,2066.24,-4.981
2017-01-09 09:00:00+00:00,1,9,9,0,2068.35,-2.638
2017-01-09 10:00:00+00:00,1,9,10,0,2027.24,-0.793
2017-01-09 11:00:00+00:00,1,9,11,0,2006.13,0.185
2017-01-09 12:00:00+00:00,1,9,12,0,1969.41,0.553
2017-01-09 13:00:00+00:00,1,9,13,0,1917.4,0.239
2017-01-09 14:00:00+00:00,1,9,14,0,1915.83,-1.078
2017-01-09 15:00:00+00:00,1,9,15,0,2033.64,-3.347
2017-01-09 16:00:00+00:00,1,9,16,0,2095.91,-4.564
2017-01-09 17:00:00+00:00,1,9,17,0,2082.37,-5.591
2017-01-09 18:00:00+00:00,1,9,18,0,2033.27,-6.357
2017-01-09 19:00:00+00:00,1,9,19,0,1960.44,-7.038
2017-01-09 20:00:00+00:00,1,9,20,0,1781.84,-7.449
2017-01-09 21:00:00+00:00,1,9,21,0,1664.63,-7.613
2017-01-09 22:00:00+00:00,1,9,22,0,1542.94,-7.847
2017-01-09 23:00:00+00:00,1,9,23,0,1458.44,-8.043
2017-01-10 00:00:00+00:00,1,10,0,1,1380.83,-8.228
2017-01-10 01:00:00+00:00,1,10,1,1,1352.81,-8.372
2017-01-10 02:00:00+00:00,1,10,2,1,1346.39,-8.583
2017-01-10 03:00:00+00:00,1,10,3,1,1408.13,-8.926
2017-01-10 04:00:00+00:00,1,10,4,1,1506.94,-9.182
2017-01-10 05:00:00+00:00,1,10,5,1,1828.26,-9.447
2017-01-10 06:00:00+00:00,1,10,6,1,2020.27,-9.766
2017-01-10 07:00:00+00:00,1,10,7,1,2090.57,-9.338
2017-01-10 08:00:00+00:00,1,10,8,1,2086.93,-8.374
2017-01-10 09:00:00+00:00,1,10,9,1,2116.75,-7.501
2017-01-10 10:00:00+00:00,1,10,10,1,2133.12,-6.839
2017-01-10 11:00:00+00:00,1,10,11,1,2114.62,-6.496
2017-01-10 12:00:00+00:00,1,10,12,1,2057.72,-6.453
2017-01-10 13:00:00+00:00,1,10,13,1,2003.08,-6.866
2017-01-10 14:00:00+00:00,1,10,14,1,2011.72,-7.952
2017-01-10 15:00:00+00:00,1,10,15,1,2055.81,-9.89
2017-01-10 16:00:00+00:00,1,10,16,1,2143.48,-10.911
2017-01-10 17:00:00+00:00,1,10,17,1,2180.94,-11.526
2017-01-10 18:00:00+00:00,1,10,18,1,2134.32,-12.14
2017-01-10 19:00:00+00:00,1,10,19,1,2067.93,-12.704
2017-01-10 20:00:00+00:00,1,10,20,1,1888.36,-13.094
2017-01-10 21:00:00+00:00,1,10,21,1,1753.21,-13.305
2017-01-10 22:00:00+00:00,1,10,22,1,1625.05,-13.434
2017-01-10 23:00:00+00:00,1,10,23,1,1561.01,-13.558
2017-01-11 00:00:00+00:00,1,11,0,2,1491.95,-13.727
2017-01-11 01:00:00+00:00,1,11,1,2,1463.46,-13.887
2017-01-11 02:00:00+00:00,1,11,2,2,1467.93,-14.0
2017-01-11 03:00:00+00:00,1,11,3,2,1529.94,-14.094
2017-01-11 04:00:00+00:00,1,11,4,2,1614.72,-14.156
2017-01-11 05:00:00+00:00,1,11,5,2,1910.96,-14.186
2017-01-11 06:00:00+00:00,1,11,6,2,2096.56,-14.138
2017-01-11 07:00:00+00:00,1,11,7,2,2147.2,-12.707
2017-01-11 08:00:00+00:00,1,11,8,2,2115.92,-10.193
2017-01-11 09:00:00+00:00,1,11,9,2,2103.02,-8.061
2017-01-11 10:00:00+00:00,1,11,10,2,2096.16,-6.525
2017-01-11 11:00:00+00:00,1,11,11,2,2036.69,-5.246
2017-01-11 12:00:00+00:00,1,11,12,2,2005.63,-4.509
2017-01-11 13:00:00+00:00,1,11,13,2,1983.86,-4.462
2017-01-11 14:00:00+00:00,1,11,14,2,1976.09,-5.844
2017-01-11 15:00:00+00:00,1,11,15,2,2059.13,-8.594
2017-01-11 16:00:00+00:00,1,11,16,2,2130.13,-9.619
2017-01-11 17:00:00+00:00,1,11,17,2,2151.33,-9.373
2017-01-11 18:00:00+00:00,1,11,18,2,2118.79,-8.827
2017-01-11 19:00:00+00:00,1,11,19,2,2018.05,-8.657
2017-01-11 20:00:00+00:00,1,11,20,2,1887.79,-8.402
2017-01-11 21:00:00+00:00,1,11,21,2,1738.29,-8.04
2017-01-11 22:00:00+00:00,1,11,22,2,1622.42,-7.706
2017-01-11 23:00:00+00:00,1,11,23,2,1507.73,-7.445
2017-01-12 00:00:00+00:00,1,12,0,3,1476.57,-7.565
2017-01-12 01:00:00+00:00,1,12,1,3,1440.94,-7.56
2017-01-12 02:00:00+00:00,1,12,2,3,1445.84,-7.245
2017-01-12 03:00:00+00:00,1,12,3,3,1449.49,-6.968
2017-01-12 04:00:00+00:00,1,12,4,3,1559.47,-6.745
2017-01-12 05:00:00+00:00,1,12,5,3,1857.59,-6.562
2017-01-12 06:00:00+00:00,1,12,6,3,2053.21,-6.263
2017-01-12 07:00:00+00:00,1,12,7,3,2089.51,-5.048
2017-01-12 08:00:00+00:00,1,12,8,3,2058.6,-3.147
2017-01-12 09:00:00+00:00,1,12,9,3,2103.02,-1.044
2017-01-12 10:00:00+00:00,1,12,10,3,2098.68,0.609
2017-01-12 11:00:00+00:00,1,12,11,3,2097.28,1.549
2017-01-12 12:00:00+00:00,1,12,12,3,2053.84,1.795
2017-01-12 13:00:00+00:00,1,12,13,3,1997.79,1.356
2017-01-12 14:00:00+00:00,1,12,14,3,1968.02,0.191
2017-01-12 15:00:00+00:00,1,12,15,3,2053.18,-1.12
2017-01-12 16:00:00+00:00,1,12,16,3,2102.5,-1.519
2017-01-12 17:00:00+00:00,1,12,17,3,2075.98,-1.651
2017-01-12 18:00:00+00:00,1,12,18,3,2032.65,-1.811
2017-01-12 19:00:00+00:00,1,12,19,3,1964.39,-2.02
2017-01-12 20:00:00+00:00,1,12,20,3,1793.79,-2.193
2017-01-12 21:00:00+00:00,1,12,21,3,1693.36,-2.145
2017-01-12 22:00:00+00:00,1,12,22,3,1551.7,-1.902
2017-01-12 23:00:00+00:00,1,12,23,3,1460.14,-1.413
2017-01-13 00:00:00+00:00,1,13,0,4,1382.04,-0.777
2017-01-13 01:00:00+00:00,1,13,1,4,1335.14,-0.099
2017-01-13 02:00:00+00:00,1,13,2,4,1378.53,0.734
2017-01-13 03:00:00+00:00,1,13,3,4,1377.56,1.588
2017-01-13 04:00:00+00:00,1,13,4,4,1459.34,1.973
2017-01-13 05:00:00+00:00,1,13,5,4,1777.99,1.916
2017-01-13 06:00:00+00:00,1,13,6,4,1956.91,1.617
2017-01-13 07:00:00+00:00,1,13,7,4,2039.12,1.751
2017-01-13 08:00:00+00:00,1,13,8,4,2033.43,2.345
2017-01-13 09:00:00+00:00,1,13,9,4,2046.06,2.654
2017-01-13 10:00:00+00:00,1,13,10,4,2072.41,2.853
2017-01-13 11:00:00+00:00,1,13,11,4,2090.17,2.562
2017-01-13 12:00:00+00:00,1,13,12,4,2032.62,1.787
2017-01-13 13:00:00+00:00,1,13,13,4,1989.14,0.933
2017-01-13 14:00:00+00:00,1,13,14,4,2017.56,0.138
2017-01-13 15:00:00+00:00,1,13,15,4,2049.62,-0.754
2017-01-13 16:00:00+00:00,1,13,16,4,2057.72,-1.555
2017-01-13 17:00:00+00:00,1,13,17,4,2029.29,-2.16
2017-01-13 18:00:00+00:00,1,13,18,4,1991.38,-2.669
2017-01-13 19:00:00+00:00,1,13,19,4,1904.09,-2.963
2017-01-13 20:00:00+00:00,1,13,20,4,1734.46,-3.176
2017-01-13 21:00:00+00:00,1,13,21,4,1646.52,-3.159
2017-01-13 22:00:00+00:00,1,13,22,4,1515.8,-3.347
2017-01-13 23:00:00+00:00,1,13,23,4,1427.78,-3.601
2017-01-14 00:00:00+00:00,1,14,0,5,1370.52,-3.677
2017-01-14 01:00:00+00:00,1,14,1,5,1331.83,-3.662
2017-01-14 02:00:00+00:00,1,14,2,5,1306.55,-3.848
2017-01-14 03:00:00+00:00,1,14,3,5,1305.9,-4.414
2017-01-14 04:00:00+00:00,1,14,4,5,1381.58,-4.666
2017-01-14 05:00:00+00:00,1,14,5,5,1506.14,-4.63
2017-01-14 06:00:00+00:00,1,14,6,5,1637.48,-5.059
2017-01-14 07:00:00+00:00,1,14,7,5,1767.09,-5.063
2017-01-14 08:00:00+00:00,1,14,8,5,1816.86,-3.107
2017-01-14 09:00:00+00:00,1,14,9,5,1855.66,-0.946
2017-01-14 10:00:00+00:00,1,14,10,5,1871.17,-0.221
2017-01-14 11:00:00+00:00,1,14,11,5,1827.09,0.158
2017-01-14 12:00:00+00:00,1,14,12,5,1729.21,0.501
2017-01-14 13:00:00+00:00,1,14,13,5,1645.47,0.585
2017-01-14 14:00:00+00:00,1,14,14,5,1658.2,-0.391
2017-01-14 15:00:00+00:00,1,14,15,5,1696.35,-2.987
2017-01-14 16:00:00+00:00,1,14,16,5,1790.55,-4.141
2017-01-14 17:00:00+00:00,1,14,17,5,1825.4,-4.485
2017-01-14 18:00:00+00:00,1,14,18,5,1794.11,-4.653
2017-01-14 19:00:00+00:00,1,14,19,5,1715.94,-4.852
2017-01-14 20:00:00+00:00,1,14,20,5,1561.72,-5.178
2017-01-14 21:00:00+00:00,1,14,21,5,1492.02,-5.761
2017-01-14 22:00:00+00:00,1,14,22,5,1391.07,-6.218
2017-01-14 23:00:00+00:00,1,14,23,5,1283.42,-6.507
2017-01-15 00:00:00+00:00,1,15,0,6,1236.17,-6.739
2017-01-15 01:00:00+00:00,1,15,1,6,1216.69,-6.558
2017-01-15 02:00:00+00:00,1,15,2,6,1231.03,-6.164
2017-01-15 03:00:00+00:00,1,15,3,6,1248.43,-5.588
2017-01-15 04:00:00+00:00,1,15,4,6,1271.1,-5.154
2017-01-15 05:00:00+00:00,1,15,5,6,1328.67,-4.998
2017-01-15 06:00:00+00:00,1,15,6,6,1455.74,-5.22
2017-01-15 07:00:00+00:00,1,15,7,6,1578.15,-4.672
2017-01-15 08:00:00+00:00,1,15,8,6,1683.43,-2.84
2017-01-15 09:00:00+00:00,1,15,9,6,1715.26,-1.089
2017-01-15 10:00:00+00:00,1,15,10,6,1741.24,-0.104
2017-01-15 11:00:00+00:00,1,15,11,6,1671.49,0.315
2017-01-15 12:00:00+00:00,1,15,12,6,1599.5,0.431
2017-01-15 13:00:00+00:00,1,15,13,6,1541.25,0.247
2017-01-15 14:00:00+00:00,1,15,14,6,1545.87,-0.973
2017-01-15 15:00:00+00:00,1,15,15,6,1565.01,-3.541
2017-01-15 16:00:00+00:00,1,15,16,6,1707.8,-5.155
2017-01-15 17:00:00+00:00,1,15,17,6,1761.68,-5.925
2017-01-15 18:00:00+00:00,1,15,18,6,1791.22,-6.444
2017-01-15 19:00:00+00:00,1,15,19,6,1692.44,-6.85
2017-01-15 20:00:00+00:00,1,15,20,6,1577.72,-7.227
2017-01-15 21:00:00+00:00,1,15,21,6,1520.48,-7.416
2017-01-15 22:00:00+00:00,1,15,22,6,1404.3,-7.456
2017-01-15 23:00:00+00:00,1,15,23,6,1348.06,-7.564
2017-01-16 00:00:00+00:00,1,16,0,0,1282.16,-7.774
2017-01-16 01:00:00+00:00,1,16,1,0,1257.57,-7.813
2017-01-16 02:00:00+00:00,1,16,2,0,1240.84,-7.914
2017-01-16 03:00:00+00:00,1,16,3,0,1293.52,-7.895
2017-01-16 04:00:00+00:00,1,16,4,0,1407.11,-7.828
2017-01-16 05:00:00+00:00,1,16,5,0,1740.64,-7.713
2017-01-16 06:00:00+00:00,1,16,6,0,1945.82,-7.486
2017-01-16 07:00:00+00:00,1,16,7,0,2028.23,-6.472
2017-01-16 08:00:00+00:00,1,16,8,0,2030.61,-4.916
2017-01-16 09:00:00+00:00,1,16,9,0,2006.24,-3.842
2017-01-16 10:00:00+00:00,1,16,10,0,2019.67,-3.174
2017-01-16 11:00:00+00:00,1,16,11,0,2008.34,-2.855
2017-01-16 12:00:00+00:00,1,16,12,0,1980.49,-2.845
2017-01-16 13:00:00+00:00,1,16,13,0,1922.68,-3.043
2017-01-16 14:00:00+00:00,1,16,14,0,1910.11,-3.473
2017-01-16 15:00:00+00:00,1,16,15,0,1948.5,-4.072
2017-01-16 16:00:00+00:00,1,16,16,0,2053.29,-4.465
2017-01-16 17:00:00+00:00,1,16,17,0,2063.16,-4.68
2017-01-16 18:00:00+00:00,1,16,18,0,2033.36,-4.83
2017-01-16 19:00:00+00:00,1,16,19,0,1946.51,-4.969
2017-01-16 20:00:00+00:00,1,16,20,0,1793.86,-5.092
2017-01-16 21:00:00+00:00,1,16,21,0,1660.7,-5.17
2017-01-16 22:00:00+00:00,1,16,22,0,1517.95,-5.198
2017-01-16 23:00:00+00:00,1,16,23,0,1437.13,-5.162
2017-01-17 00:00:00+00:00,1,17,0,1,1369.26,-5.124
2017-01-17 01:00:00+00:00,1,17,1,1,1359.33,-5.144
2017-01-17 02:00:00+00:00,1,17,2,1,1337.44,-5.202
2017-01-17 03:00:00+00:00,1,17,3,1,1387.98,-5.217
2017-01-17 04:00:00+00:00,1,17,4,1,1487.04,-5.155
2017-01-17 05:00:00+00:00,1,17,5,1,1807.73,-5.06
2017-01-17 06:00:00+00:00,1,17,6,1,1978.86,-4.954
2017-01-17 07:00:00+00:00,1,17,7,1,2049.8,-4.705
2017-01-17 08:00:00+00:00,1,17,8,1,2032.92,-4.27
2017-01-17 09:00:00+00:00,1,17,9,1,2014.87,-3.76
2017-01-17 10:00:00+00:00,1,17,10,1,2047.24,-3.327
2017-01-17 11:00:00+00:00,1,17,11,1,2039.1,-3.066
2017-01-17 12:00:00+00:00,1,17,12,1,2022.7,-3.085
2017-01-17 13:00:00+00:00,1,17,13,1,1976.88,-3.309
2017-01-17 14:00:00+00:00,1,17,14,1,1959.89,-3.672
2017-01-17 15:00:00+00:00,1,17,15,1,2021.95,-4.079
2017-01-17 16:00:00+00:00,1,17,16,1,2059.48,-4.322
