ept,tmpf,month,hour,dayofweek,mw2day,mw7day
2019-01-01 00:00:00,64.0,1,0,1,,
2019-01-01 01:00:00,66.0,1,1,1,,
2019-01-01 02:00:00,66.9,1,2,1,,
2019-01-01 03:00:00,66.9,1,3,1,,
2019-01-01 04:00:00,66.0,1,4,1,,
2019-01-01 05:00:00,66.9,1,5,1,,
2019-01-01 06:00:00,68.0,1,6,1,,
2019-01-01 07:00:00,66.9,1,7,1,,
2019-01-01 08:00:00,66.9,1,8,1,,
2019-01-01 09:00:00,66.0,1,9,1,,
2019-01-01 10:00:00,66.0,1,10,1,,
2019-01-01 11:00:00,64.9,1,11,1,,
2019-01-01 12:00:00,66.0,1,12,1,,
2019-01-01 13:00:00,66.0,1,13,1,,
2019-01-01 14:00:00,66.0,1,14,1,,
2019-01-01 15:00:00,64.9,1,15,1,,
2019-01-01 16:00:00,64.0,1,16,1,,
2019-01-01 17:00:00,61.0,1,17,1,,
2019-01-01 18:00:00,57.0,1,18,1,,
2019-01-01 19:00:00,55.0,1,19,1,,
2019-01-01 20:00:00,52.0,1,20,1,,
2019-01-01 21:00:00,51.1,1,21,1,,
2019-01-01 22:00:00,50.0,1,22,1,,
2019-01-01 23:00:00,46.9,1,23,1,,
2019-01-02 00:00:00,48.0,1,0,2,,
2019-01-02 01:00:00,46.9,1,1,2,,
2019-01-02 02:00:00,44.1,1,2,2,,
2019-01-02 03:00:00,43.0,1,3,2,,
2019-01-02 04:00:00,43.0,1,4,2,,
2019-01-02 05:00:00,41.0,1,5,2,,
2019-01-02 06:00:00,39.9,1,6,2,,
2019-01-02 07:00:00,41.0,1,7,2,,
2019-01-02 08:00:00,41.0,1,8,2,,
2019-01-02 09:00:00,44.1,1,9,2,,
2019-01-02 10:00:00,45.0,1,10,2,,
2019-01-02 11:00:00,46.0,1,11,2,,
2019-01-02 12:00:00,46.9,1,12,2,,
2019-01-02 13:00:00,46.9,1,13,2,,
2019-01-02 14:00:00,48.0,1,14,2,,
2019-01-02 15:00:00,48.9,1,15,2,,
2019-01-02 16:00:00,48.9,1,16,2,,
2019-01-02 17:00:00,46.9,1,17,2,,
2019-01-02 18:00:00,46.9,1,18,2,,
2019-01-02 19:00:00,46.9,1,19,2,,
2019-01-02 20:00:00,46.0,1,20,2,,
2019-01-02 21:00:00,46.0,1,21,2,,
2019-01-02 22:00:00,45.0,1,22,2,,
2019-01-02 23:00:00,45.0,1,23,2,,
2019-01-03 00:00:00,44.1,1,0,3,9088.189,
2019-01-03 01:00:00,44.1,1,1,3,8684.294,
2019-01-03 02:00:00,44.1,1,2,3,8323.87,
2019-01-03 03:00:00,44.1,1,3,3,8164.973,
2019-01-03 04:00:00,45.0,1,4,3,8126.982,
2019-01-03 05:00:00,46.0,1,5,3,8273.913,
2019-01-03 06:00:00,46.9,1,6,3,8469.216,
2019-01-03 07:00:00,48.0,1,7,3,8619.65,
2019-01-03 08:00:00,48.0,1,8,3,8758.063,
2019-01-03 09:00:00,48.9,1,9,3,9161.13,
2019-01-03 10:00:00,48.9,1,10,3,9452.693,
2019-01-03 11:00:00,51.1,1,11,3,9583.262,
2019-01-03 12:00:00,53.1,1,12,3,9517.417,
2019-01-03 13:00:00,51.1,1,13,3,9568.256,
2019-01-03 14:00:00,51.1,1,14,3,9573.961,
2019-01-03 15:00:00,51.1,1,15,3,9662.869,
2019-01-03 16:00:00,50.0,1,16,3,10009.888,
2019-01-03 17:00:00,48.9,1,17,3,10911.42,
2019-01-03 18:00:00,46.9,1,18,3,11000.56,
2019-01-03 19:00:00,45.0,1,19,3,10891.08,
2019-01-03 20:00:00,43.0,1,20,3,10718.838,
2019-01-03 21:00:00,41.0,1,21,3,10350.834,
2019-01-03 22:00:00,39.0,1,22,3,9853.355,
2019-01-03 23:00:00,39.9,1,23,3,9366.895,
2019-01-04 00:00:00,39.9,1,0,4,9080.596,
2019-01-04 01:00:00,43.0,1,1,4,8919.886,
2019-01-04 02:00:00,42.1,1,2,4,8997.022,
2019-01-04 03:00:00,41.0,1,3,4,9186.951,
2019-01-04 04:00:00,41.0,1,4,4,9565.748,
2019-01-04 05:00:00,41.0,1,5,4,10417.153,
2019-01-04 06:00:00,41.0,1,6,4,11463.406,
2019-01-04 07:00:00,41.0,1,7,4,12021.22,
2019-01-04 08:00:00,42.1,1,8,4,12066.87,
2019-01-04 09:00:00,43.0,1,9,4,11989.572,
2019-01-04 10:00:00,46.0,1,10,4,11906.07,
2019-01-04 11:00:00,46.9,1,11,4,11838.321,
2019-01-04 12:00:00,48.0,1,12,4,11728.029,
2019-01-04 13:00:00,48.0,1,13,4,11677.557,
2019-01-04 14:00:00,48.0,1,14,4,11578.303,
2019-01-04 15:00:00,48.9,1,15,4,11713.269,
2019-01-04 16:00:00,48.9,1,16,4,12131.809,
2019-01-04 17:00:00,48.9,1,17,4,12839.897,
2019-01-04 18:00:00,48.0,1,18,4,12823.815,
2019-01-04 19:00:00,48.0,1,19,4,12653.409,
2019-01-04 20:00:00,50.0,1,20,4,12338.827,
2019-01-04 21:00:00,48.9,1,21,4,11725.814,
2019-01-04 22:00:00,48.9,1,22,4,11022.148,
2019-01-04 23:00:00,48.0,1,23,4,10378.031,
2019-01-05 00:00:00,48.0,1,0,5,9900.216,
2019-01-05 01:00:00,48.0,1,1,5,9678.226,
2019-01-05 02:00:00,48.0,1,2,5,9570.797,
2019-01-05 03:00:00,48.9,1,3,5,9581.105,
2019-01-05 04:00:00,48.0,1,4,5,9898.245,
2019-01-05 05:00:00,48.0,1,5,5,10575.1,
2019-01-05 06:00:00,48.9,1,6,5,11509.539,
2019-01-05 07:00:00,48.9,1,7,5,11973.431,
2019-01-05 08:00:00,48.0,1,8,5,11853.222,
2019-01-05 09:00:00,48.0,1,9,5,11764.915,
2019-01-05 10:00:00,50.0,1,10,5,11634.389,
2019-01-05 11:00:00,52.0,1,11,5,11468.829,
2019-01-05 12:00:00,55.9,1,12,5,11314.055,
2019-01-05 13:00:00,57.0,1,13,5,11239.054,
2019-01-05 14:00:00,57.0,1,14,5,11153.515,
2019-01-05 15:00:00,57.9,1,15,5,11231.103,
2019-01-05 16:00:00,57.9,1,16,5,11604.905,
2019-01-05 17:00:00,57.0,1,17,5,12536.555,
2019-01-05 18:00:00,54.0,1,18,5,12677.334,
2019-01-05 19:00:00,51.1,1,19,5,12637.885,
2019-01-05 20:00:00,52.0,1,20,5,12488.265,
2019-01-05 21:00:00,50.0,1,21,5,12124.96,
2019-01-05 22:00:00,48.9,1,22,5,11530.56,
2019-01-05 23:00:00,46.9,1,23,5,10999.174,
2019-01-06 00:00:00,43.0,1,0,6,10602.172,
2019-01-06 01:00:00,39.0,1,1,6,10436.975,
2019-01-06 02:00:00,39.0,1,2,6,10389.897,
2019-01-06 03:00:00,44.1,1,3,6,10438.127,
2019-01-06 04:00:00,46.0,1,4,6,10870.249,
2019-01-06 05:00:00,46.9,1,5,6,11637.269,
2019-01-06 06:00:00,46.9,1,6,6,12695.447,
2019-01-06 07:00:00,46.9,1,7,6,13162.429,
2019-01-06 08:00:00,46.9,1,8,6,13014.396,
2019-01-06 09:00:00,50.0,1,9,6,12804.985,
2019-01-06 10:00:00,54.0,1,10,6,12514.9,
2019-01-06 11:00:00,57.0,1,11,6,12208.581,
2019-01-06 12:00:00,61.0,1,12,6,12084.653,
2019-01-06 13:00:00,64.0,1,13,6,11933.521,
2019-01-06 14:00:00,62.1,1,14,6,11744.677,
2019-01-06 15:00:00,61.0,1,15,6,11721.983,
2019-01-06 16:00:00,60.1,1,16,6,12019.49,
2019-01-06 17:00:00,55.0,1,17,6,12570.593,
2019-01-06 18:00:00,50.0,1,18,6,12438.658,
2019-01-06 19:00:00,48.9,1,19,6,12124.233,
2019-01-06 20:00:00,48.0,1,20,6,11773.65,
2019-01-06 21:00:00,46.0,1,21,6,11313.129,
2019-01-06 22:00:00,45.0,1,22,6,10775.066,
2019-01-06 23:00:00,44.1,1,23,6,10153.298,
2019-01-07 00:00:00,43.0,1,0,0,9669.839,
2019-01-07 01:00:00,41.0,1,1,0,9331.628,
2019-01-07 02:00:00,39.9,1,2,0,9125.862,
2019-01-07 03:00:00,41.0,1,3,0,9074.006,
2019-01-07 04:00:00,39.0,1,4,0,9137.108,
2019-01-07 05:00:00,37.0,1,5,0,9370.408,
2019-01-07 06:00:00,37.0,1,6,0,9777.54,
2019-01-07 07:00:00,37.9,1,7,0,10223.894,
2019-01-07 08:00:00,37.9,1,8,0,10648.23,
2019-01-07 09:00:00,37.9,1,9,0,10794.914,
2019-01-07 10:00:00,39.0,1,10,0,10819.607,
2019-01-07 11:00:00,41.0,1,11,0,10670.935,
2019-01-07 12:00:00,42.1,1,12,0,10471.636,
2019-01-07 13:00:00,43.0,1,13,0,10150.167,
2019-01-07 14:00:00,44.1,1,14,0,9908.347,
2019-01-07 15:00:00,44.1,1,15,0,9900.048,
2019-01-07 16:00:00,44.1,1,16,0,10264.459,
2019-01-07 17:00:00,42.1,1,17,0,11076.137,
2019-01-07 18:00:00,41.0,1,18,0,11319.498,
2019-01-07 19:00:00,39.9,1,19,0,11350.213,
2019-01-07 20:00:00,39.0,1,20,0,11224.806,
2019-01-07 21:00:00,39.9,1,21,0,11024.637,
2019-01-07 22:00:00,41.0,1,22,0,10652.765,
2019-01-07 23:00:00,42.1,1,23,0,10310.044,
2019-01-08 00:00:00,42.1,1,0,1,9974.077,9088.189
2019-01-08 01:00:00,43.0,1,1,1,9833.499,8684.294
2019-01-08 02:00:00,43.0,1,2,1,9796.119,8323.87
2019-01-08 03:00:00,44.1,1,3,1,9816.19,8164.973
2019-01-08 04:00:00,43.0,1,4,1,9973.63,8126.982
2019-01-08 05:00:00,43.0,1,5,1,10288.781,8273.913
2019-01-08 06:00:00,43.0,1,6,1,10672.712,8469.216
2019-01-08 07:00:00,43.0,1,7,1,11018.66,8619.65
2019-01-08 08:00:00,44.1,1,8,1,11147.418,8758.063
2019-01-08 09:00:00,46.0,1,9,1,10738.496,9161.13
2019-01-08 10:00:00,48.9,1,10,1,10274.497,9452.693
2019-01-08 11:00:00,53.1,1,11,1,9991.717,9583.262
2019-01-08 12:00:00,57.0,1,12,1,9843.514,9517.417
2019-01-08 13:00:00,60.1,1,13,1,9767.762,9568.256
2019-01-08 14:00:00,61.0,1,14,1,9617.681,9573.961
2019-01-08 15:00:00,62.1,1,15,1,9677.869,9662.869
2019-01-08 16:00:00,63.0,1,16,1,10119.522,10009.888
2019-01-08 17:00:00,61.0,1,17,1,11169.575,10911.42
2019-01-08 18:00:00,59.0,1,18,1,11683.197,11000.56
2019-01-08 19:00:00,59.0,1,19,1,11668.189,10891.08
2019-01-08 20:00:00,57.9,1,20,1,11631.365,10718.838
2019-01-08 21:00:00,59.0,1,21,1,11360.992,10350.834
2019-01-08 22:00:00,57.9,1,22,1,10842.608,9853.355
2019-01-08 23:00:00,57.9,1,23,1,10376.752,9366.895
2019-01-09 00:00:00,57.9,1,0,2,10162.782,9080.596
2019-01-09 01:00:00,57.0,1,1,2,10102.667,8919.886
2019-01-09 02:00:00,55.0,1,2,2,10159.607,8997.022
2019-01-09 03:00:00,53.1,1,3,2,10407.385,9186.951
2019-01-09 04:00:00,48.9,1,4,2,10935.96,9565.748
2019-01-09 05:00:00,46.9,1,5,2,11873.007,10417.153
2019-01-09 06:00:00,45.0,1,6,2,13124.473,11463.406
2019-01-09 07:00:00,45.0,1,7,2,13667.074,12021.22
2019-01-09 08:00:00,44.1,1,8,2,13359.092,12066.87
2019-01-09 09:00:00,46.9,1,9,2,12992.348,11989.572
2019-01-09 10:00:00,48.9,1,10,2,12793.014,11906.07
2019-01-09 11:00:00,50.0,1,11,2,12533.412,11838.321
2019-01-09 12:00:00,51.1,1,12,2,12319.9,11728.029
2019-01-09 13:00:00,51.1,1,13,2,12204.402,11677.557
2019-01-09 14:00:00,50.0,1,14,2,12117.919,11578.303
2019-01-09 15:00:00,50.0,1,15,2,12254.059,11713.269
2019-01-09 16:00:00,48.9,1,16,2,12772.863,12131.809
2019-01-09 17:00:00,44.1,1,17,2,13638.797,12839.897
2019-01-09 18:00:00,42.1,1,18,2,13922.909,12823.815
2019-01-09 19:00:00,39.0,1,19,2,13654.231,12653.409
2019-01-09 20:00:00,37.9,1,20,2,13337.023,12338.827
2019-01-09 21:00:00,37.0,1,21,2,12706.081,11725.814
2019-01-09 22:00:00,37.0,1,22,2,12015.155,11022.148
2019-01-09 23:00:00,36.0,1,23,2,11175.905,10378.031
2019-01-10 00:00:00,35.1,1,0,3,10744.236,9900.216
2019-01-10 01:00:00,34.0,1,1,3,10506.516,9678.226
2019-01-10 02:00:00,33.1,1,2,3,10353.785,9570.797
2019-01-10 03:00:00,33.1,1,3,3,10339.569,9581.105
2019-01-10 04:00:00,30.9,1,4,3,10653.223,9898.245
2019-01-10 05:00:00,30.0,1,5,3,11353.36,10575.1
2019-01-10 06:00:00,28.9,1,6,3,12460.216,11509.539
2019-01-10 07:00:00,28.9,1,7,3,12941.334,11973.431
2019-01-10 08:00:00,28.9,1,8,3,12640.678,11853.222
2019-01-10 09:00:00,32.0,1,9,3,12194.677,11764.915
2019-01-10 10:00:00,33.1,1,10,3,11763.381,11634.389
2019-01-10 11:00:00,36.0,1,11,3,11248.196,11468.829
2019-01-10 12:00:00,37.9,1,12,3,10718.027,11314.055
2019-01-10 13:00:00,37.9,1,13,3,10479.933,11239.054
2019-01-10 14:00:00,39.0,1,14,3,10225.832,11153.515
2019-01-10 15:00:00,39.0,1,15,3,10222.563,11231.103
2019-01-10 16:00:00,37.9,1,16,3,10643.367,11604.905
2019-01-10 17:00:00,36.0,1,17,3,11529.274,12536.555
2019-01-10 18:00:00,34.0,1,18,3,11789.899,12677.334
2019-01-10 19:00:00,33.1,1,19,3,11674.447,12637.885
2019-01-10 20:00:00,32.0,1,20,3,11381.29,12488.265
2019-01-10 21:00:00,30.0,1,21,3,10873.201,12124.96
2019-01-10 22:00:00,28.9,1,22,3,10141.603,11530.56
2019-01-10 23:00:00,28.0,1,23,3,9478.213,10999.174
2019-01-11 00:00:00,27.0,1,0,4,9085.008,10602.172
2019-01-11 01:00:00,27.0,1,1,4,8964.459,10436.975
2019-01-11 02:00:00,26.1,1,2,4,9022.113,10389.897
2019-01-11 03:00:00,25.0,1,3,4,9166.24,10438.127
2019-01-11 04:00:00,25.0,1,4,4,9653.519,10870.249
2019-01-11 05:00:00,25.0,1,5,4,10587.117,11637.269
2019-01-11 06:00:00,25.0,1,6,4,11847.85,12695.447
2019-01-11 07:00:00,25.0,1,7,4,12427.188,13162.429
2019-01-11 08:00:00,26.1,1,8,4,12098.338,13014.396
2019-01-11 09:00:00,28.9,1,9,4,11644.052,12804.985
2019-01-11 10:00:00,32.0,1,10,4,11271.118,12514.9
2019-01-11 11:00:00,35.1,1,11,4,11182.244,12208.581
2019-01-11 12:00:00,37.0,1,12,4,11125.326,12084.653
2019-01-11 13:00:00,39.0,1,13,4,11095.365,11933.521
2019-01-11 14:00:00,39.9,1,14,4,11202.474,11744.677
2019-01-11 15:00:00,41.0,1,15,4,11646.156,11721.983
2019-01-11 16:00:00,41.0,1,16,4,12358.476,12019.49
2019-01-11 17:00:00,37.0,1,17,4,13450.021,12570.593
2019-01-11 18:00:00,36.0,1,18,4,13773.183,12438.658
2019-01-11 19:00:00,33.1,1,19,4,13809.109,12124.233
2019-01-11 20:00:00,30.0,1,20,4,13720.406,11773.65
2019-01-11 21:00:00,30.0,1,21,4,13371.334,11313.129
2019-01-11 22:00:00,30.0,1,22,4,12830.044,10775.066
2019-01-11 23:00:00,28.9,1,23,4,12242.813,10153.298
2019-01-12 00:00:00,28.9,1,0,5,11955.855,9669.839
2019-01-12 01:00:00,28.9,1,1,5,11959.433,9331.628
2019-01-12 02:00:00,30.0,1,2,5,12146.619,9125.862
2019-01-12 03:00:00,30.0,1,3,5,12456.401,9074.006
2019-01-12 04:00:00,30.0,1,4,5,12989.324,9137.108
2019-01-12 05:00:00,30.9,1,5,5,14042.631,9370.408
2019-01-12 06:00:00,30.9,1,6,5,15365.654,9777.54
2019-01-12 07:00:00,30.9,1,7,5,15949.155,10223.894
2019-01-12 08:00:00,32.0,1,8,5,15349.278,10648.23
2019-01-12 09:00:00,32.0,1,9,5,14551.661,10794.914
2019-01-12 10:00:00,33.1,1,10,5,14050.842,10819.607
2019-01-12 11:00:00,35.1,1,11,5,13575.656,10670.935
2019-01-12 12:00:00,36.0,1,12,5,13200.41,10471.636
2019-01-12 13:00:00,37.0,1,13,5,12922.14,10150.167
2019-01-12 14:00:00,37.0,1,14,5,12795.49,9908.347
2019-01-12 15:00:00,37.0,1,15,5,12964.994,9900.048
2019-01-12 16:00:00,37.0,1,16,5,13691.33,10264.459
2019-01-12 17:00:00,34.0,1,17,5,15007.833,11076.137
2019-01-12 18:00:00,32.0,1,18,5,15484.846,11319.498
2019-01-12 19:00:00,30.9,1,19,5,15498.998,11350.213
2019-01-12 20:00:00,30.9,1,20,5,15460.392,11224.806
2019-01-12 21:00:00,30.9,1,21,5,15015.675,11024.637
2019-01-12 22:00:00,30.9,1,22,5,14291.659,10652.765
2019-01-12 23:00:00,30.9,1,23,5,13687.977,10310.044
2019-01-13 00:00:00,30.9,1,0,6,13420.297,9974.077
2019-01-13 01:00:00,30.9,1,1,6,13329.981,9833.499
2019-01-13 02:00:00,30.9,1,2,6,13427.724,9796.119
2019-01-13 03:00:00,30.9,1,3,6,13706.7,9816.19
2019-01-13 04:00:00,32.0,1,4,6,14192.187,9973.63
2019-01-13 05:00:00,32.0,1,5,6,15096.445,10288.781
2019-01-13 06:00:00,32.0,1,6,6,16288.738,10672.712
2019-01-13 07:00:00,32.0,1,7,6,16830.571,11018.66
2019-01-13 08:00:00,32.0,1,8,6,16117.201,11147.418
2019-01-13 09:00:00,33.1,1,9,6,15118.19,10738.496
2019-01-13 10:00:00,32.0,1,10,6,14360.969,10274.497
2019-01-13 11:00:00,33.1,1,11,6,13699.139,9991.717
2019-01-13 12:00:00,33.1,1,12,6,13075.33,9843.514
2019-01-13 13:00:00,33.1,1,13,6,12709.567,9767.762
2019-01-13 14:00:00,34.0,1,14,6,12393.011,9617.681
2019-01-13 15:00:00,33.1,1,15,6,12454.436,9677.869
2019-01-13 16:00:00,33.1,1,16,6,13109.969,10119.522
2019-01-13 17:00:00,33.1,1,17,6,14314.698,11169.575
2019-01-13 18:00:00,32.0,1,18,6,14715.518,11683.197
2019-01-13 19:00:00,32.0,1,19,6,14722.18,11668.189
2019-01-13 20:00:00,32.0,1,20,6,14504.802,11631.365
2019-01-13 21:00:00,30.9,1,21,6,14319.429,11360.992
2019-01-13 22:00:00,30.9,1,22,6,13906.983,10842.608
2019-01-13 23:00:00,30.9,1,23,6,13502.17,10376.752
2019-01-14 00:00:00,30.0,1,0,0,13140.782,10162.782
2019-01-14 01:00:00,30.0,1,1,0,12966.934,10102.667
2019-01-14 02:00:00,28.9,1,2,0,12847.97,10159.607
2019-01-14 03:00:00,28.9,1,3,0,12846.599,10407.385
2019-01-14 04:00:00,28.9,1,4,0,12970.52,10935.96
2019-01-14 05:00:00,28.0,1,5,0,13168.127,11873.007
2019-01-14 06:00:00,28.0,1,6,0,13535.165,13124.473
2019-01-14 07:00:00,28.0,1,7,0,13907.768,13667.074
2019-01-14 08:00:00,28.0,1,8,0,14254.578,13359.092
2019-01-14 09:00:00,30.0,1,9,0,14280.625,12992.348
2019-01-14 10:00:00,30.0,1,10,0,14140.448,12793.014
2019-01-14 11:00:00,30.9,1,11,0,13888.934,12533.412
2019-01-14 12:00:00,32.0,1,12,0,13531.383,12319.9
2019-01-14 13:00:00,33.1,1,13,0,13393.506,12204.402
2019-01-14 14:00:00,34.0,1,14,0,13337.264,12117.919
2019-01-14 15:00:00,35.1,1,15,0,13527.23,12254.059
2019-01-14 16:00:00,35.1,1,16,0,13966.01,12772.863
2019-01-14 17:00:00,33.1,1,17,0,14656.003,13638.797
2019-01-14 18:00:00,30.9,1,18,0,14803.97,13922.909
2019-01-14 19:00:00,30.9,1,19,0,14691.27,13654.231
2019-01-14 20:00:00,30.9,1,20,0,14442.229,13337.023
2019-01-14 21:00:00,32.0,1,21,0,14122.25,12706.081
2019-01-14 22:00:00,32.0,1,22,0,13633.499,12015.155
2019-01-14 23:00:00,32.0,1,23,0,13151.704,11175.905
2019-01-15 00:00:00,32.0,1,0,1,12797.61,10744.236
2019-01-15 01:00:00,32.0,1,1,1,12579.46,10506.516
2019-01-15 02:00:00,32.0,1,2,1,12475.479,10353.785
2019-01-15 03:00:00,32.0,1,3,1,12379.645,10339.569
2019-01-15 04:00:00,32.0,1,4,1,12474.639,10653.223
2019-01-15 05:00:00,32.0,1,5,1,12666.806,11353.36
2019-01-15 06:00:00,30.9,1,6,1,12989.982,12460.216
2019-01-15 07:00:00,30.0,1,7,1,13460.057,12941.334
2019-01-15 08:00:00,32.0,1,8,1,13857.414,12640.678
2019-01-15 09:00:00,33.1,1,9,1,14164.966,12194.677
2019-01-15 10:00:00,35.1,1,10,1,14320.18,11763.381
2019-01-15 11:00:00,35.1,1,11,1,14300.45,11248.196
2019-01-15 12:00:00,37.0,1,12,1,14282.752,10718.027
2019-01-15 13:00:00,39.9,1,13,1,14216.188,10479.933
2019-01-15 14:00:00,39.9,1,14,1,14171.905,10225.832
2019-01-15 15:00:00,41.0,1,15,1,14180.293,10222.563
2019-01-15 16:00:00,39.9,1,16,1,14479.547,10643.367
2019-01-15 17:00:00,39.0,1,17,1,15164.016,11529.274
2019-01-15 18:00:00,34.0,1,18,1,15263.653,11789.899
2019-01-15 19:00:00,32.0,1,19,1,15070.639,11674.447
2019-01-15 20:00:00,30.0,1,20,1,14844.529,11381.29
2019-01-15 21:00:00,28.9,1,21,1,14411.405,10873.201
2019-01-15 22:00:00,28.9,1,22,1,13928.958,10141.603
2019-01-15 23:00:00,28.9,1,23,1,13420.925,9478.213
2019-01-16 00:00:00,28.0,1,0,2,13181.34,9085.008
2019-01-16 01:00:00,28.9,1,1,2,13049.41,8964.459
2019-01-16 02:00:00,28.0,1,2,2,13046.183,9022.113
2019-01-16 03:00:00,28.0,1,3,2,13242.328,9166.24
2019-01-16 04:00:00,25.0,1,4,2,13640.679,9653.519
2019-01-16 05:00:00,26.1,1,5,2,14312.163,10587.117
2019-01-16 06:00:00,26.1,1,6,2,15199.641,11847.85
2019-01-16 07:00:00,27.0,1,7,2,15661.457,12427.188
2019-01-16 08:00:00,27.0,1,8,2,15651.524,12098.338
2019-01-16 09:00:00,30.9,1,9,2,15432.495,11644.052
2019-01-16 10:00:00,37.0,1,10,2,15064.149,11271.118
2019-01-16 11:00:00,42.1,1,11,2,14734.373,11182.244
2019-01-16 12:00:00,43.0,1,12,2,14376.491,11125.326
2019-01-16 13:00:00,45.0,1,13,2,14040.834,11095.365
2019-01-16 14:00:00,45.0,1,14,2,13782.797,11202.474
2019-01-16 15:00:00,46.0,1,15,2,13675.249,11646.156
2019-01-16 16:00:00,46.9,1,16,2,14149.151,12358.476
2019-01-16 17:00:00,43.0,1,17,2,15291.565,13450.021
2019-01-16 18:00:00,39.9,1,18,2,15703.788,13773.183
2019-01-16 19:00:00,39.0,1,19,2,15681.303,13809.109
2019-01-16 20:00:00,36.0,1,20,2,15432.274,13720.406
2019-01-16 21:00:00,36.0,1,21,2,14938.097,13371.334
2019-01-16 22:00:00,34.0,1,22,2,14259.27,12830.044
2019-01-16 23:00:00,32.0,1,23,2,13702.923,12242.813
2019-01-17 00:00:00,30.9,1,0,3,13363.469,11955.855
2019-01-17 01:00:00,28.9,1,1,3,13261.038,11959.433
2019-01-17 02:00:00,30.0,1,2,3,13271.145,12146.619
2019-01-17 03:00:00,28.9,1,3,3,13429.76,12456.401
2019-01-17 04:00:00,30.9,1,4,3,13958.609,12989.324
2019-01-17 05:00:00,32.0,1,5,3,14771.448,14042.631
2019-01-17 06:00:00,32.0,1,6,3,15859.863,15365.654
2019-01-17 07:00:00,33.1,1,7,3,16399.34,15949.155
2019-01-17 08:00:00,33.1,1,8,3,16085.851,15349.278
2019-01-17 09:00:00,36.0,1,9,3,15205.334,14551.661
2019-01-17 10:00:00,37.0,1,10,3,14268.354,14050.842
2019-01-17 11:00:00,37.9,1,11,3,13558.226,13575.656
2019-01-17 12:00:00,39.9,1,12,3,12973.155,13200.41
2019-01-17 13:00:00,41.0,1,13,3,12621.721,12922.14
2019-01-17 14:00:00,41.0,1,14,3,12580.726,12795.49
2019-01-17 15:00:00,42.1,1,15,3,12541.637,12964.994
2019-01-17 16:00:00,42.1,1,16,3,13107.187,13691.33
2019-01-17 17:00:00,41.0,1,17,3,14249.1,15007.833
2019-01-17 18:00:00,39.9,1,18,3,14806.38,15484.846
2019-01-17 19:00:00,39.0,1,19,3,14901.517,15498.998
2019-01-17 20:00:00,37.9,1,20,3,14962.432,15460.392
2019-01-17 21:00:00,37.9,1,21,3,14626.166,15015.675
2019-01-17 22:00:00,39.0,1,22,3,14144.172,14291.659
2019-01-17 23:00:00,39.0,1,23,3,13757.768,13687.977
2019-01-18 00:00:00,39.0,1,0,4,13610.331,13420.297
2019-01-18 01:00:00,39.0,1,1,4,13590.633,13329.981
2019-01-18 02:00:00,37.9,1,2,4,13654.394,13427.724
2019-01-18 03:00:00,39.0,1,3,4,13884.04,13706.7
2019-01-18 04:00:00,37.9,1,4,4,14397.55,14192.187
2019-01-18 05:00:00,39.0,1,5,4,15370.561,15096.445
2019-01-18 06:00:00,39.0,1,6,4,16519.664,16288.738
2019-01-18 07:00:00,37.9,1,7,4,16869.37,16830.571
2019-01-18 08:00:00,37.0,1,8,4,16093.319,16117.201
2019-01-18 09:00:00,37.9,1,9,4,14867.549,15118.19
2019-01-18 10:00:00,39.9,1,10,4,13733.243,14360.969
2019-01-18 11:00:00,44.1,1,11,4,12951.207,13699.139
2019-01-18 12:00:00,46.9,1,12,4,12334.139,13075.33
2019-01-18 13:00:00,48.9,1,13,4,11890.489,12709.567
2019-01-18 14:00:00,51.1,1,14,4,11616.332,12393.011
2019-01-18 15:00:00,52.0,1,15,4,11737.632,12454.436
2019-01-18 16:00:00,51.1,1,16,4,12354.845,13109.969
2019-01-18 17:00:00,48.0,1,17,4,13485.481,14314.698
2019-01-18 18:00:00,43.0,1,18,4,14007.401,14715.518
2019-01-18 19:00:00,41.0,1,19,4,14063.148,14722.18
2019-01-18 20:00:00,42.1,1,20,4,14020.706,14504.802
2019-01-18 21:00:00,43.0,1,21,4,13603.001,14319.429
2019-01-18 22:00:00,42.1,1,22,4,12996.738,13906.983
2019-01-18 23:00:00,42.1,1,23,4,12471.642,13502.17
2019-01-19 00:00:00,41.0,1,0,5,12224.237,13140.782
2019-01-19 01:00:00,41.0,1,1,5,12111.463,12966.934
2019-01-19 02:00:00,41.0,1,2,5,12163.508,12847.97
2019-01-19 03:00:00,39.9,1,3,5,12351.288,12846.599
2019-01-19 04:00:00,39.9,1,4,5,12756.323,12970.52
2019-01-19 05:00:00,39.9,1,5,5,13609.202,13168.127
2019-01-19 06:00:00,39.9,1,6,5,14768.81,13535.165
2019-01-19 07:00:00,39.9,1,7,5,15272.181,13907.768
2019-01-19 08:00:00,39.9,1,8,5,14760.973,14254.578
2019-01-19 09:00:00,41.0,1,9,5,14176.161,14280.625
2019-01-19 10:00:00,41.0,1,10,5,13797.125,14140.448
2019-01-19 11:00:00,42.1,1,11,5,13480.414,13888.934
2019-01-19 12:00:00,44.1,1,12,5,13196.687,13531.383
2019-01-19 13:00:00,46.0,1,13,5,12865.296,13393.506
2019-01-19 14:00:00,46.9,1,14,5,12648.535,13337.264
2019-01-19 15:00:00,48.0,1,15,5,12841.643,13527.23
2019-01-19 16:00:00,46.9,1,16,5,13398.81,13966.01
